mo,hr,lo_frac,mi_frac,hi_frac
2,19,0.14721586575133486,0.10240274599542334,0.8422959572845156
2,20,0.1885245901639344,0.06284153005464481,0.8284993694829761
2,21,0.23478084415584416,0.08725649350649352,0.8084415584415584
2,22,0.24730968513351934,0.09147070546034276,0.8023116779593463
2,23,0.28909257561869844,0.05847846012832265,0.80916590284143
3,0,0.25221478936901104,0.1372265413126017,0.7846682335924787
3,1,0.3161089238845144,0.09858923884514435,0.7472112860892388
3,2,0.42894021739130433,0.06589673913043478,0.628804347826087
3,3,0.5579169912095249,0.05897407366195616,0.5494603315900745
3,4,0.6496043273565061,0.04437543824501653,0.4828207953520986
3,5,0.7486353002339485,0.07884931981630708,0.4232735464864396
3,6,0.712520325203252,0.06626016260162602,0.439349593495935
3,7,0.6239015817223198,0.059363405584846714,0.5055653192735794
3,8,0.4963063984543698,0.055574497101943406,0.5880213660643255
3,9,0.3594225930340353,0.07257316911667329,0.6942126870613164
3,10,0.28872555817501044,0.10470115101927613,0.7746498405214256
3,11,0.20287253141831238,0.1149012567324955,0.7939511117249
3,12,0.17573696145124718,0.1316609977324263,0.824546485260771
3,13,0.1261013215859031,0.19961453744493393,0.8332874449339208
3,14,0.11467693624304663,0.21637426900584794,0.8265582655826558
3,15,0.07754541291405892,0.18531521905052667,0.8464356586780645
3,16,0.05283526838297156,0.149082954736665,0.8887767120982668
3,17,0.06611570247933884,0.16510560146923783,1.0165289256198347
3,18,0.05726081493448214,0.15472985101418057,0.8948124214683181
3,19,0.04499196572040707,0.17050526691662204,0.8793072665595428
3,20,0.06773056225644833,0.15049174243830024,0.8793839302282427
3,21,0.08525149190110826,0.15579710144927536,0.868073316283035
3,22,0.12260701226070121,0.15573241557324155,0.8158743815874381
3,23,0.18366105817960673,0.14027974863166429,0.824244881410906
4,0,0.1540388227927364,0.10253600500939261,0.8453350031308704
4,1,0.27501095370235135,0.07813641010661604,0.767927559515116
4,2,0.42751479289940825,0.063732741617357,0.6740631163708086
4,3,0.5143164693218514,0.061679224973089336,0.5858988159311086
4,4,0.5485685071574642,0.06820040899795501,0.5624744376278118
4,5,0.5503817513431992,0.06871524177585069,0.6380431708926383
4,6,0.462974598330491,0.09047661789785476,0.6387218382550938
4,7,0.34675186368477107,0.1012779552715655,0.7334398296059639
4,8,0.29956051787623234,0.0755434137070911,0.7599477372609573
4,9,0.2692121797970034,0.10911068148864186,0.792049299178347
4,10,0.22070879051582798,0.14213646109219322,0.8154874511287679
4,11,0.19159297706010509,0.15827245931052158,0.8149429706523131
4,12,0.15551306564690884,0.21083492670490755,0.8036966220522626
4,13,0.12144212523719165,0.21657179000632512,0.826944971537002
4,14,0.09039046653144016,0.2099391480730223,0.8376014198782962
4,15,0.0535453943008615,0.15467196819085488,0.8982107355864811
4,16,0.039943741209563996,0.13375527426160339,0.9188466947960618
4,17,0.018667861409796892,0.13410991636798086,0.892921146953405
